clip	ending0	ending1	ending2	ending3	ending4	label
video7632	a man walks down a road near a mansion at dusk	a woman grabs a soccer ball	people are fighting on a beach	a girl giving a review of eyebrow pencil	a man runs down a road near a mansion at dusk	0
video9019	a black man makes several free throws in a row and then hits some	two people are walking and talking	a group of people protesting	a black man makes several free throws in a row and then misses some	a person explains about the behaviour of the animals which may be problematic	3
video9018	an arrangement of colors that morph into a series of images of a clothed duck	girls and guy singing	demonstration of making nail wraps at home	a man running in a baseball field	a man walks across a baseball field	3
video7478	a man discusses ai in a video game	a man shoots ai in a video game	a race car driver in a blue uniform is being interviewed	this is a footage of goofy nba plays	two cute girls are walking and hugs each other	0
video9011	person is presenting the latest study on the screen	a woman describes a recipe	a man an a woman standing at a table by a window having a conversation	a man an a woman sitting at a table by a window having a conversation	the man talks about racing the other vehicle shown	3
video9013	a couple is dancing	a man is playing the guitar	people letting the balloons in the air and surprising another people	great tips on how to apply eye shadow to create stunning eyes	a couple is kissing	4
video9012	a poster with yellow background and red writing with a group of people behind a counter	a girl is laying on her bed crying	a man speaking off camera offering assistance to get a video player working	a man is in an elevator	a girl is laying on her bed smiling	4
video9015	a person is describing about the features of the car	there is someone serving berger on the table	there is someone eating berger on the table	tv celebrity gossip about the hunger games franchise	young girl talking to other people	1
video9014	wearing a red apron eats from a white bowl while standing by wavy kitchen cabinets a brown counter	in a restaurant kitchen various foods are being prepared	video segment from beauty and the beast animated movie	a person plays a children s video game	a person points at a children s video game	3
video9017	an animated cooking show	the analysis of a report	the bike rider bike is pull in two men at the track on reversely	the bike rider bike is chasing two men at the track on reversely	a man playing video games	2
